Player,Salary,Year
Alec Burks,"$2,320,044",2019
Damian Jones,"$2,305,057",2019
Darius Bazley,"$2,284,800",2019
OG Anunoby,"$2,281,800",2019
Ante Zizic,"$2,281,800",2019
Markieff Morris,"$2,259,887",2019
Luke Kornet,"$2,250,000",2019
Aaron Holiday,"$2,239,200",2019
Ty Jerome,"$2,193,480",2019
Willie Cauley-Stein,"$2,177,483",2019
Kyle O'Quinn,"$2,174,318",2019
Austin Rivers,"$2,174,310",2019
Carmelo Anthony,"$2,159,029",2019
Anfernee Simons,"$2,149,560",2019
Nassir Little,"$2,105,520",2019
Moritz Wagner,"$2,063,520",2019
Dylan Windler,"$2,035,800",2019
Caleb Swanigan,"$2,033,160",2019
Michael Carter-Williams,"$2,028,594",2019
Mike Muscala,"$2,028,594",2019
Ben McLemore,"$2,028,594",2019
Edmond Sumner,"$2,000,000",2019
Torrey Craig,"$2,000,000",2019
Noah Vonleh,"$2,000,000",2019
Landry Shamet,"$1,995,120",2019
Mfiondu Kabengele,"$1,977,000",2019
Kyle Kuzma,"$1,974,600",2019
Jordan Poole,"$1,964,760",2019
Tony Bradley,"$1,962,360",2019
Keldon Johnson,"$1,950,600",2019
Derrick White,"$1,948,080",2019
Robert Williams,"$1,937,520",2019
Josh Hart,"$1,934,160",2019
Jacob Evans,"$1,925,880",2019
Dzanan Musa,"$1,911,600",2019
Omari Spellman,"$1,897,800",2019
Glenn Robinson III,"$1,882,867",2019
James Ennis,"$1,882,867",2019
Nerlens Noel,"$1,882,867",2019
Shabazz Napier,"$1,845,301",2019
Bruno Caboclo,"$1,845,301",2019
Emmanuel Mudiay,"$1,737,145",2019
Mario Hezonja,"$1,737,145",2019
Raul Neto,"$1,737,145",2019
JaKarr Sampson,"$1,737,145",2019
Pat Connaughton,"$1,723,050",2019
Jahlil Okafor,"$1,702,486",2019
Rodions Kurucs,"$1,699,236",2019
Cheick Diallo,"$1,678,854",2019
Willy Hernangomez,"$1,676,735",2019
Georges Niang,"$1,645,357",2019
Derrick Jones,"$1,645,357",2019
Christian Wood,"$1,645,357",2019
Treveon Graham,"$1,645,357",2019
Furkan Korkmaz,"$1,620,564",2019
Shaquille Harrison,"$1,620,564",2019
Royce O'Neale,"$1,618,520",2019
Wesley Iwundu,"$1,618,520",2019
Abdel Nader,"$1,618,520",2019
Damyean Dotson,"$1,618,520",2019
Frank Jackson,"$1,618,520",2019
Sterling Brown,"$1,618,520",2019
Dillon Brooks,"$1,618,520",2019
Dwayne Bacon,"$1,618,520",2019
Semi Ojeleye,"$1,618,520",2019
Chris Boucher,"$1,588,231",2019
Malcolm Miller,"$1,588,231",2019
Monte Morris,"$1,588,231",2019
Mitchell Robinson,"$1,559,712",2019
Nigel Williams-Goss,"$1,500,000",2019
Isaiah Roby,"$1,500,000",2019
Wenyen Gabriel,"$1,445,697",2019
Shake Milton,"$1,445,697",2019
Theo Pinson,"$1,445,697",2019
Thanasis Antetokounmpo,"$1,445,697",2019
Brad Wanamaker,"$1,445,697",2019
Isaac Bonga,"$1,416,852",2019
Chimezie Metu,"$1,416,852",2019
Gary Trent Jr,"$1,416,852",2019
Elie Okobo,"$1,416,852",2019
Jevon Carter,"$1,416,852",2019
Ryan Broekhoff,"$1,416,852",2019
Melvin Frazier,"$1,416,852",2019
Deonte Burton,"$1,416,852",2019
Hamidou Diallo,"$1,416,852",2019
Kenrich Williams,"$1,416,852",2019
Jarred Vanderbilt,"$1,416,852",2019
Duncan Robinson,"$1,416,852",2019
Kendrick Nunn,"$1,416,852",2019
De'Anthony Melton,"$1,416,852",2019
Alize Johnson,"$1,416,852",2019
Bruce Brown,"$1,416,852",2019
Khyri Thomas,"$1,416,852",2019
Sviatoslav Mykhailiuk,"$1,416,852",2019
Keita Bates-Diop,"$1,416,852",2019
Jalen Brunson,"$1,416,852",2019
Devonte Graham,"$1,416,852",2019
Jaylen Nowell,"$1,400,000",2019
Bruno Fernando,"$1,400,000",2019
Kevin Porter,"$1,290,960",2019
Jordan McRae,"$1,254,933",2019
Carsen Edwards,"$1,228,026",2019
Cody Martin,"$1,173,310",2019
Gary Payton II,"$1,052,909",2019
Admiral Schofield,"$1,000,000",2019
Terance Mann,"$1,000,000",2019
David Nwaba,"$903,111",2019
Miye Oni,"$898,310",2019
Dewan Hernandez,"$898,310",2019
Terence Davis,"$898,310",2019
Matt Thomas,"$898,310",2019
Justin James,"$898,310",2019
DaQuan Jeffries,"$898,310",2019
Jalen Lecque,"$898,310",2019
Ignas Brazdeikis,"$898,310",2019
Naz Reid,"$898,310",2019
KZ Okpala,"$898,310",2019
Talen Horton-Tucker,"$898,310",2019
Eric Paschall,"$898,310",2019
Alen Smailagic,"$898,310",2019
Vlatko Cancar,"$898,310",2019
Daniel Gafford,"$898,310",2019
Caleb Martin,"$898,310",2019
Jalen McDaniels,"$898,310",2019
Nicolas Claxton,"$898,310",2019
Javonte Green,"$898,310",2019
Damion Lee,"$842,327",2019
Jeff Green,"$840,427",2019
Timothe Luwawu,"$837,583",2019
Juwan Morgan,"$746,054",2019
Gary Clark,"$718,765",2019
Marvin Williams,"$604,278",2019
Michael Kidd-Gilchrist,"$595,122",2019
Rayjon Tucker,"$578,573",2019
Chris Clemons,"$563,346",2019
Brandon Goodwin,"$522,738",2019
Reggie Jackson,"$512,721",2019
DeMarre Carroll,"$512,721",2019
Justin Patton,"$483,115",2019
Anzejs Pasecniks,"$482,144",2019
Chris Silva,"$466,918",2019
Troy Daniels,"$458,439",2019
Anthony Tolliver,"$434,704",2019
Joakim Noah,"$381,360",2019
Dion Waiters,"$375,385",2019
Dean Wade,"$375,000",2019
Norvel Pelle,"$350,189",2019
Juan Toscano-Anderson,"$350,189",2019
Ky Bowman,"$350,189",2019
Jamal Crawford,"$289,803",2019
Jordan Bell,"$250,000",2019
Tyler Zeller,"$245,686",2019
Trey Burke,"$229,220",2019
Jontay Porter,"$197,933",2019
Jerian Grant,"$196,288",2019
Cameron Payne,"$196,288",2019
Dragan Bender,"$189,700",2019
Mychal Mulder,"$187,782",2019
Corey Brewer,"$183,115",2019
Sindarius Thornwell,"$183,115",2019
PJ Dozier,"$183,115",2019
Tyler Johnson,"$183,115",2019
Jaylen Adams,"$163,356",2019
Joe Chealey,"$163,356",2019
Johnathan Williams,"$161,245",2019
Luguentz Dort,"$155,647",2019
Oshae Brissett,"$129,568",2019
JP Macura,"$106,181",2019
Donta Hall,"$101,504",2019
Chasson Randle,"$91,557",2019
Sheldon Mac,"$91,557",2019
Jonah Bolden,"$89,846",2019
Derrick Walton,"$81,678",2019
Garrison Mathews,"$79,568",2019
Justin Wright-Foreman,"$79,568",2019
Jarrell Brantley,"$79,568",2019
Paul Watson,"$79,568",2019
Quinndary Weatherspoon,"$79,568",2019
Drew Eubanks,"$79,568",2019
Kyle Guy,"$79,568",2019
Jaylen Hoard,"$79,568",2019
Moses Brown,"$79,568",2019
Tariq Owens,"$79,568",2019
Marial Shayok,"$79,568",2019
BJ Johnson,"$79,568",2019
Vic Law,"$79,568",2019
Kevin Hervey,"$79,568",2019
Jared Harper,"$79,568",2019
Kenny Wooten,"$79,568",2019
Josh Gray,"$79,568",2019
Zylan Cheatham,"$79,568",2019
Jordan McLaughlin,"$79,568",2019
Kelan Martin,"$79,568",2019
Frank Mason,"$79,568",2019
Cam Reynolds,"$79,568",2019
Gabe Vincent,"$79,568",2019
Kyle Alexander,"$79,568",2019
Yuta Watanabe,"$79,568",2019
John Konchar,"$79,568",2019
Kostas Antetokounmpo,"$79,568",2019
Devontae Cacok,"$79,568",2019
Amir Coffey,"$79,568",2019
Johnathan Motley,"$79,568",2019
Brian Bowen,"$79,568",2019
Naz Long,"$79,568",2019
William Howard,"$79,568",2019
Michael Frazier,"$79,568",2019
Louis King,"$79,568",2019
Jordan Bone,"$79,568",2019
Tyler Cook,"$79,568",2019
Bol Bol,"$79,568",2019
Antonius Cleveland,"$79,568",2019
Josh Reaves,"$79,568",2019
Matt Mooney,"$79,568",2019
Adam Mokoka,"$79,568",2019
Max Strus,"$79,568",2019
Kobi Simmons,"$79,568",2019
Raymond Spalding,"$79,568",2019
Chris Chiozza,"$79,568",2019
Jeremiah Martin,"$79,568",2019
Tremont Waters,"$79,568",2019
Tacko Fall,"$79,568",2019
Charlie Brown,"$79,568",2019
Malik Newman,"$65,978",2019
